age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,previous,poutcome,y
56,housemaid,married,1.0,no,no,telephone,5,1,261,1,0,nonexistent,0
57,services,married,4.0,no,no,telephone,5,1,149,1,0,nonexistent,0
37,services,married,4.0,yes,no,telephone,5,1,226,1,0,nonexistent,0
40,admin.,married,2.0,no,no,telephone,5,1,151,1,0,nonexistent,0
56,services,married,4.0,no,yes,telephone,5,1,307,1,0,nonexistent,0
45,services,married,3.0,no,no,telephone,5,1,198,1,0,nonexistent,0
59,admin.,married,5.0,no,no,telephone,5,1,139,1,0,nonexistent,0
41,blue-collar,married,4.160934688394962,no,no,telephone,5,1,217,1,0,nonexistent,0
24,technician,single,5.0,yes,no,telephone,5,1,380,1,0,nonexistent,0
25,services,single,4.0,yes,no,telephone,5,1,50,1,0,nonexistent,0
41,blue-collar,married,4.160934688394962,no,no,telephone,5,1,55,1,0,nonexistent,0
25,services,single,4.0,yes,no,telephone,5,1,222,1,0,nonexistent,0
29,blue-collar,single,4.0,no,yes,telephone,5,1,137,1,0,nonexistent,0
57,housemaid,divorced,1.0,yes,no,telephone,5,1,293,1,0,nonexistent,0
35,blue-collar,married,2.0,yes,no,telephone,5,1,146,1,0,nonexistent,0
54,retired,married,3.0,yes,yes,telephone,5,1,174,1,0,nonexistent,0
35,blue-collar,married,2.0,yes,no,telephone,5,1,312,1,0,nonexistent,0
46,blue-collar,married,2.0,yes,yes,telephone,5,1,440,1,0,nonexistent,0
50,blue-collar,married,3.0,yes,yes,telephone,5,1,353,1,0,nonexistent,0
39,management,single,3.0,no,no,telephone,5,1,195,1,0,nonexistent,0
30,unemployed,married,4.0,no,no,telephone,5,1,38,1,0,nonexistent,0
55,blue-collar,married,1.0,yes,no,telephone,5,1,262,1,0,nonexistent,0
55,retired,single,4.0,yes,no,telephone,5,1,342,1,0,nonexistent,0
41,technician,single,4.0,yes,no,telephone,5,1,181,1,0,nonexistent,0
37,admin.,married,4.0,yes,no,telephone,5,1,172,1,0,nonexistent,0
35,technician,married,6.0,no,yes,telephone,5,1,99,1,0,nonexistent,0
59,technician,married,4.160934688394962,yes,no,telephone,5,1,93,1,0,nonexistent,0
39,self-employed,married,3.0,no,no,telephone,5,1,233,1,0,nonexistent,0
54,technician,single,6.0,no,no,telephone,5,1,255,2,0,nonexistent,0
55,,married,6.0,,,telephone,5,1,362,1,0,nonexistent,0
46,admin.,married,4.160934688394962,no,no,telephone,5,1,348,1,0,nonexistent,0
59,technician,married,4.160934688394962,yes,no,telephone,5,1,386,1,0,nonexistent,0
49,blue-collar,married,4.160934688394962,no,no,telephone,5,1,73,1,0,nonexistent,0
54,management,married,1.0,yes,no,telephone,5,1,230,1,0,nonexistent,0
54,blue-collar,divorced,1.0,no,no,telephone,5,1,208,1,0,nonexistent,0
55,,married,1.0,yes,no,telephone,5,1,336,1,0,nonexistent,0
34,services,married,4.0,no,no,telephone,5,1,365,1,0,nonexistent,0
52,technician,married,3.0,yes,no,telephone,5,1,1666,1,0,nonexistent,0
41,admin.,married,6.0,yes,no,telephone,5,1,577,1,0,nonexistent,0
56,technician,married,1.0,yes,no,telephone,5,1,137,1,0,nonexistent,0
58,management,,6.0,yes,no,telephone,5,1,366,1,0,nonexistent,0
32,entrepreneur,married,4.0,yes,no,telephone,5,1,314,1,0,nonexistent,0
38,admin.,single,5.0,no,no,telephone,5,1,160,1,0,nonexistent,0
57,admin.,married,6.0,no,yes,telephone,5,1,212,1,0,nonexistent,0
44,admin.,married,6.0,yes,no,telephone,5,1,188,1,0,nonexistent,0
42,technician,single,5.0,no,no,telephone,5,1,22,1,0,nonexistent,0
57,admin.,married,6.0,yes,yes,telephone,5,1,616,1,0,nonexistent,0
40,blue-collar,married,3.0,no,yes,telephone,5,1,178,1,0,nonexistent,0
35,admin.,married,6.0,yes,no,telephone,5,1,355,1,0,nonexistent,0
45,blue-collar,married,3.0,yes,no,telephone,5,1,225,2,0,nonexistent,0
54,admin.,married,4.0,no,no,telephone,5,1,160,1,0,nonexistent,0
39,housemaid,married,1.0,no,yes,telephone,5,1,266,1,0,nonexistent,0
60,admin.,married,4.0,no,no,telephone,5,1,253,1,0,nonexistent,0
53,admin.,single,5.0,no,no,telephone,5,1,179,1,0,nonexistent,0
55,blue-collar,married,1.0,no,no,telephone,5,1,269,2,0,nonexistent,0
55,technician,married,5.0,yes,no,telephone,5,1,135,1,0,nonexistent,0
50,management,married,6.0,no,yes,telephone,5,1,161,1,0,nonexistent,0
45,services,married,4.0,yes,no,telephone,5,1,787,1,0,nonexistent,0
55,unemployed,married,5.0,yes,yes,telephone,5,1,145,1,0,nonexistent,0
25,technician,single,6.0,yes,no,telephone,5,1,174,1,0,nonexistent,0
47,entrepreneur,married,6.0,no,no,telephone,5,1,449,1,0,nonexistent,0
